PLAYER,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,
1,LeBron James,"$30,963,450 ","$33,285,709 ","$35,607,968 ",$0 ,$0 ,$0 
2,Mike Conley,"$26,540,100 ","$28,530,608 ","$30,521,115 ","$32,511,623 ","$34,502,130 ",$0 
2,James Harden,"$26,540,100 ","$28,299,399 ","$30,421,854 ","$32,703,493 ",$0 ,$0 
2,Russell Westbrook,"$26,540,100 ","$28,299,399 ","$30,421,854 ",$0 ,$0 ,$0 
2,DeMar DeRozan,"$26,540,100 ","$27,739,975 ","$27,739,975 ","$27,739,975 ","$27,739,975 ",$0 
2,Al Horford,"$26,540,100 ","$27,734,405 ","$28,928,710 ","$30,123,015 ",$0 ,$0 
2,Kevin Durant,"$26,540,100 ","$27,734,405 ",$0 ,$0 ,$0 ,$0 
8,Dirk Nowitzki,"$25,000,000 ","$25,000,000 ",$0 ,$0 ,$0 ,$0 
9,Carmelo Anthony,"$24,559,380 ","$26,243,760 ","$27,928,140 ",$0 ,$0 ,$0 
10,Damian Lillard,"$24,328,425 ","$26,153,057 ","$27,977,689 ","$29,802,321 ","$31,626,953 ",$0 
11,Chris Bosh,"$23,741,060 ","$25,289,390 ","$26,837,720 ",$0 ,$0 ,$0 
12,Dwight Howard,"$23,500,000 ","$23,500,000 ","$23,500,000 ",$0 ,$0 ,$0 
13,Dwyane Wade,"$23,200,000 ","$23,800,000 ",$0 ,$0 ,$0 ,$0 
14,Chris Paul,"$22,868,827 ","$24,268,959 ",$0 ,$0 ,$0 ,$0 
15,Andre Drummond,"$22,116,750 ","$23,775,506 ","$25,434,262 ","$27,093,018 ","$28,751,774 ",$0 
15,Hassan Whiteside,"$22,116,750 ","$23,775,506 ","$24,434,262 ","$27,093,018 ",$0 ,$0 
15,Bradley Beal,"$22,116,750 ","$23,775,506 ","$25,434,262 ","$27,093,018 ","$28,751,774 ",$0 
15,Harrison Barnes,"$22,116,750 ","$23,112,004 ","$24,107,258 ","$25,102,512 ",$0 ,$0 
15,Chandler Parsons,"$22,116,750 ","$23,112,004 ","$24,107,258 ","$25,102,512 ",$0 ,$0 
20,Derrick Rose,"$21,323,252 ",$0 ,$0 ,$0 ,$0 ,$0 
21,Brook Lopez,"$21,165,675 ","$22,642,350 ",$0 ,$0 ,$0 ,$0 
21,Kevin Love,"$21,165,675 ","$22,642,350 ","$24,119,025 ","$25,595,700 ",$0 ,$0 
21,DeAndre Jordan,"$21,165,675 ","$22,642,350 ","$24,119,025 ",$0 ,$0 ,$0 
21,Marc Gasol,"$21,165,675 ","$22,642,350 ","$24,119,025 ","$25,595,700 ",$0 ,$0 
25,Anthony Davis,"$20,947,250 ","$22,518,294 ","$24,089,338 ","$25,660,382 ","$27,231,426 ",$0 
26,Nicolas Batum,"$20,869,566 ","$22,434,783 ","$24,000,000 ","$25,565,217 ","$27,130,434 ",$0 
27,LaMarcus Aldridge,"$20,575,005 ","$21,461,010 ","$22,346,015 ",$0 ,$0 ,$0 
28,Blake Griffin,"$20,093,064 ","$21,323,252 ",$0 ,$0 ,$0 ,$0 
29,Paul Millsap,"$20,072,033 ","$21,472,408 ",$0 ,$0 ,$0 ,$0 
30,Ryan Anderson,"$18,735,364 ","$19,578,455 ","$20,421,546 ","$21,264,637 ",$0 ,$0 
31,Allen Crabbe,"$18,500,000 ","$18,500,000 ","$19,332,500 ","$18,500,000 ",$0 ,$0 
32,Paul George,"$18,100,000 ","$19,300,000 ","$20,500,000 ",$0 ,$0 ,$0 
33,Luol Deng,"$18,000,000 ","$17,190,000 ","$18,000,000 ","$18,810,000 ",$0 ,$0 
34,Kawhi Leonard,"$17,638,063 ","$18,868,625 ","$20,099,188 ","$21,329,750 ",$0 ,$0 
34,Kyrie Irving,"$17,638,063 ",,,$0 ,$0 ,$0 
36,Jimmy Butler,"$17,552,209 ","$18,696,918 ","$19,841,627 ","$19,841,627 ",$0 ,$0 
37,Tobias Harris,"$17,200,000 ","$16,000,000 ","$14,800,000 ",$0 ,$0 ,$0 
38,Greg Monroe,"$17,145,838 ","$17,884,176 ",$0 ,$0 ,$0 ,$0 
38,Enes Kanter,"$17,145,838 ","$17,884,176 ","$18,622,514 ",$0 ,$0 ,$0 
38,Wesley Matthews,"$17,145,838 ","$17,884,175 ","$18,622,513 ",$0 ,$0 ,$0 
41,Joakim Noah,"$17,000,000 ","$17,765,000 ","$18,530,000 ","$19,295,000 ",$0 ,$0 
41,Bismack Biyombo,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ",$0 ,$0 
41,Evan Fournier,"$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ","$17,000,000 ",$0 
44,Klay Thompson,"$16,663,575 ","$17,826,150 ","$18,988,725 ",$0 ,$0 ,$0 
45,Evan Turner,"$16,393,443 ","$17,131,148 ","$17,868,853 ","$18,606,556 ",$0 ,$0 
46,Gordon Hayward,"$16,073,140 ","$16,736,710 ",$0 ,$0 ,$0 ,$0 
47,Ian Mahinmi,"$16,000,000 ","$16,000,000 ","$16,000,000 ","$16,000,000 ",$0 ,$0 
47,Timofey Mozgov,"$16,000,000 ","$15,280,000 ","$16,000,000 ","$16,720,000 ",$0 ,$0 
49,Goran Dragic,"$15,891,725 ","$17,000,450 ","$18,109,175 ","$19,217,900 ",$0 ,$0 
50,DeMarcus Cousins,"$15,756,438 ","$16,784,031 ",$0 ,$0 ,$0 ,$0 
50,John Wall,"$15,756,438 ","$16,784,031 ","$17,811,625 ",$0 ,$0 ,$0 
52,Kent Bazemore,"$15,730,337 ","$16,910,112 ","$18,089,888 ","$19,269,663 ",$0 ,$0 
53,Pau Gasol,"$15,500,000 ","$16,197,500 ",$0 ,$0 ,$0 ,$0 
54,Tristan Thompson,"$15,330,435 ","$16,400,000 ","$17,469,565 ","$18,539,130 ",$0 ,$0 
54,Draymond Green,"$15,330,435 ","$16,400,000 ","$17,469,565 ","$18,539,130 ",$0 ,$0 
56,Khris Middleton,"$15,200,000 ","$14,100,000 ","$13,000,000 ","$13,000,000 ",$0 ,$0 
57,Danilo Gallinari,"$15,050,000 ","$16,100,000 ",$0 ,$0 ,$0 ,$0 
58,Jeff Green,"$15,000,000 ",$0 ,$0 ,$0 ,$0 ,$0 
59,Reggie Jackson,"$14,956,522 ","$16,000,000 ","$17,043,478 ","$18,086,956 ",$0 ,$0 
60,Deron Williams,"$14,474,787 ","$5,474,787 ","$5,474,787 ","$5,474,787 ",$0 ,$0 
61,Tony Parker,"$14,445,313 ","$15,453,126 ",$0 ,$0 ,$0 ,$0 
